id|start|end|mean|min|max|mean_of_abs|stddev|variance|coeff_var|sum|null_cells|cells|non_null_cells
db_s1a_iw_grd_vh_20141004t044342_20141004t044407_002675_002fbb_002@scaled|2014-10-04 04:43:42|2014-10-04 04:43:43|-16.8680302916526|-28.8574815460266|7.07129497260773|16.8681451057165|1.94466182756137|3.78170962357432|-11.5286835151328|-17671387.1023228|11046384|12094010|1047626
db_s1a_iw_grd_vh_20141031t161859_20141031t161924_003076_003856_002@scaled|2014-10-31 16:18:59|2014-10-31 16:19:00|-20.9941898096877|-63.1833663362521|-4.66486266844918|20.9941898096877|11.4247907240412|130.525843088137|-54.4188217197562|-7914137.74417834|11717042|12094010|376968
db_s1a_iw_grd_vh_20141104t043513_20141104t043538_003127_003979_002@scaled|2014-11-04 04:35:13|2014-11-04 04:35:14|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vh_20141104t043538_20141104t043603_003127_003979_002@scaled|2014-11-04 04:35:38|2014-11-04 04:35:39|-16.0479497546038|-32.8898459249469|3.47618241639954|16.0479745636133|2.23891060730955|5.01272070752321|-13.9513809648317|-16812233.3616668|11046385|12094010|1047625
db_s1a_iw_grd_vh_20141107t161038_20141107t161103_003178_003a89_002@scaled|2014-11-07 16:10:38|2014-11-07 16:10:39|-15.180796436813|-29.7590271698792|-3.19508089139593|15.180796436813|2.10810841840603|4.44412110375438|-13.886678654711|-15903797.0479126|11046384|12094010|1047626
db_s1a_iw_grd_vh_20141124t161858_20141124t161923_003426_003ffe_002@scaled|2014-11-24 16:18:58|2014-11-24 16:18:59|-21.8906138393907|-66.2012423212608|-4.68602246097457|21.8906138393907|11.3214593630932|128.175442110171|-51.7183275268462|-8455556.06405843|11707746|12094010|386264
db_s1a_iw_grd_vh_20141201t161038_20141201t161103_003528_004267_002@scaled|2014-12-01 16:10:38|2014-12-01 16:10:39|-17.6233782665253|-30.2373740254438|-2.75361218179858|17.6233782665253|1.87704345002334|3.52329211327553|-10.6508719363341|-18462709.2798469|11046384|12094010|1047626
db_s1a_iw_grd_vh_20141203t044322_20141203t044347_003550_0042ee_002@scaled|2014-12-03 04:43:22|2014-12-03 04:43:23|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vh_20141213t161037_20141213t161102_003703_004659_002@scaled|2014-12-13 16:10:37|2014-12-13 16:10:38|-15.0370460588151|-28.0498135544531|-2.34171182860029|15.0370460588151|1.97761682118328|3.91096829142707|-13.1516310680179|-15753200.4144122|11046384|12094010|1047626
db_s1a_iw_grd_vh_20141215t044346_20141215t044411_003725_0046e8_002@scaled|2014-12-15 04:43:46|2014-12-15 04:43:47|-14.3479872577183|-26.7385256615984|5.99865955257709|14.3480773852531|1.90540125414139|3.63055393928358|-13.2799201721928|-15031324.4988544|11046384|12094010|1047626
