id|start|end|mean|min|max|mean_of_abs|stddev|variance|coeff_var|sum|null_cells|cells|non_null_cells
db_s1a_iw_grd_vv_20141004t044342_20141004t044407_002675_002fbb_001@scaled|2014-10-04 04:43:42|2014-10-04 04:43:43|-11.090565998745|-24.3649168301401|20.9547375852255|11.0925969470809|2.02541887704072|4.10232162747291|-18.2625384247289|-11618687.6610392|11046391|12094010|1047619
db_s1a_iw_grd_vv_20141031t161859_20141031t161924_003076_003856_001@scaled|2014-10-31 16:18:59|2014-10-31 16:19:00|-15.3973117963842|-63.0115122578438|5.80511112887011|15.3975147007208|11.1792452020697|124.975523287998|-72.6051751754158|-5804555.58755989|11717025|12094010|376985
db_s1a_iw_grd_vv_20141104t043513_20141104t043538_003127_003979_001@scaled|2014-11-04 04:35:13|2014-11-04 04:35:14|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vv_20141104t043538_20141104t043603_003127_003979_001@scaled|2014-11-04 04:35:38|2014-11-04 04:35:39|-10.3514171733494|-25.5080327310108|5.99625074431439|10.3515370719757|2.16297233389788|4.67844931720764|-20.8954223144116|-10844413.7676473|11046384|12094010|1047626
db_s1a_iw_grd_vv_20141107t161038_20141107t161103_003178_003a89_001@scaled|2014-11-07 16:10:38|2014-11-07 16:10:39|-9.7321066555365|-26.2313203227631|0.888255743739727|9.73210934660666|2.05999201536513|4.24356710336811|-21.166969169961|-10195607.9671131|11046384|12094010|1047626
db_s1a_iw_grd_vv_20141124t161858_20141124t161923_003426_003ffe_001@scaled|2014-11-24 16:18:58|2014-11-24 16:18:59|-15.8032254468017|-53.7910976370021|3.19329436123645|15.8032759018078|11.0651719168681|122.438029549845|-70.0184399325106|-6104627.95784502|11707720|12094010|386290
db_s1a_iw_grd_vv_20141201t161038_20141201t161103_003528_004267_001@scaled|2014-12-01 16:10:38|2014-12-01 16:10:39|-11.01035212033|-27.1260355566666|1.02257100156735|11.0103580191096|1.82532975594548|3.33182871794|-16.5783049987576|-11534731.1504128|11046384|12094010|1047626
db_s1a_iw_grd_vv_20141203t044322_20141203t044347_003550_0042ee_001@scaled|2014-12-03 04:43:22|2014-12-03 04:43:23|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vv_20141213t161037_20141213t161102_003703_004659_001@scaled|2014-12-13 16:10:37|2014-12-13 16:10:38|-9.79267460846632|-22.5789875261071|1.47773473638913|9.79268087446557|1.90579367981086|3.63204955000703|-19.4614214809425|-10259060.5293691|11046384|12094010|1047626
db_s1a_iw_grd_vv_20141215t044346_20141215t044411_003725_0046e8_001@scaled|2014-12-15 04:43:46|2014-12-15 04:43:47|-9.04962068436053|-24.6746509393974|20.7907760697412|9.05175370595112|1.9198396712382|3.68578436325999|-21.2145871987325|-9480518.37324635|11046395|12094010|1047615
db_s1a_iw_grd_vv_20141225t161037_20141225t161102_003878_004a5c_001@scaled|2014-12-25 16:10:37|2014-12-25 16:10:38|-9.33244860817786|-25.3835919730468|0.504994752016415|9.33244974102018|1.95009819317938|3.80288296304147|-20.8958899754405|-9776915.80559094|11046384|12094010|1047626
db_s1a_iw_grd_vv_20141227t044346_20141227t044411_003900_004ae6_001@scaled|2014-12-27 04:43:46|2014-12-27 04:43:47|-11.0461359916325|-25.33188745792|25.8874922424787|11.0488181689547|1.89491199560602|3.5906914710916|-17.1545235097723|-11572119.8491461|11046393|12094010|1047617
db_s1a_iw_grd_vv_20150106t161036_20150106t161101_004053_004e3e_001@scaled|2015-01-06 16:10:36|2015-01-06 16:10:37|-11.7338257213263|-25.0100354715495|1.58273445302632|11.7338319290839|1.88321606760477|3.54650275728476|-16.0494634259141|-12292660.9051302|11046384|12094010|1047626
db_s1a_iw_grd_vv_20150108t044345_20150108t044410_004075_004ecb_001@scaled|2015-01-08 04:43:45|2015-01-08 04:43:46|-11.3763439243714|-27.4356531370404|23.9068388921507|11.3786009966773|1.92460150280286|3.70409094459101|-16.9175748869529|-11918005.7876425|11046397|12094010|1047613
db_s1a_iw_grd_vv_20150118t161036_20150118t161101_004228_00523d_001@scaled|2015-01-18 16:10:36|2015-01-18 16:10:37|-9.62874069441593|-25.4110667169458|1.88783217908075|9.62875095075722|1.9623832858315|3.85094816051085|-20.3804770334044|-10087319.0987282|11046384|12094010|1047626
db_s1a_iw_grd_vv_20150120t044320_20150120t044345_004250_0052c7_001@scaled|2015-01-20 04:43:20|2015-01-20 04:43:21|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
