cat,area,ndvi_agg_2015_12_22_average,ndvi_agg_2016_01_01_average,ndvi_agg_2016_02_10_average,ndvi_agg_2016_02_17_average,ndvi_agg_2016_03_08_average,ndvi_agg_2016_03_11_average,ndvi_agg_2016_03_18_average,ndvi_agg_2016_03_21_average,ndvi_agg_2016_04_07_average,ndvi_agg_2016_04_10_average,ndvi_agg_2016_04_17_average,ndvi_agg_2016_04_19_average,ndvi_agg_2016_04_20_average,ndvi_agg_2016_04_23_average,ndvi_agg_2016_04_27_average,ndvi_agg_2016_04_30_average,ndvi_agg_2016_05_07_average,ndvi_agg_2016_05_10_average,ndvi_agg_2016_05_19_average,ndvi_agg_2016_05_20_average,ndvi_agg_2016_05_22_average,ndvi_agg_2016_05_27_average,ndvi_agg_2016_05_30_average,ndvi_agg_2016_06_16_average,ndvi_agg_2016_06_19_average,ndvi_agg_2016_06_26_average,ndvi_agg_2016_06_29_average,ndvi_agg_2016_07_06_average,ndvi_agg_2016_07_07_average,ndvi_agg_2016_07_16_average,ndvi_agg_2016_07_19_average,ndvi_agg_2016_07_21_average,ndvi_agg_2016_07_26_average,ndvi_agg_2016_07_29_average,ndvi_agg_2016_08_05_average,ndvi_agg_2016_08_08_average,ndvi_agg_2016_08_18_average,ndvi_agg_2016_08_20_average,ndvi_agg_2016_08_28_average,ndvi_agg_2016_08_30_average,ndvi_agg_2016_09_04_average,ndvi_agg_2016_09_07_average,ndvi_agg_2016_09_14_average,ndvi_agg_2016_09_24_average,ndvi_agg_2016_10_01_average,ndvi_agg_2016_10_17_average,ndvi_agg_2016_10_24_average,ndvi_agg_2016_11_03_average,ndvi_agg_2016_12_03_average,ndvi_agg_2016_12_05_average,ndvi_agg_2016_12_06_average,ndvi_agg_2016_12_13_average,ndvi_agg_2017_01_05_average,ndvi_agg_2017_03_23_average,ndvi_agg_2017_04_02_average,ndvi_agg_2017_04_05_average,ndvi_agg_2017_05_05_average,ndvi_agg_2017_05_12_average,ndvi_agg_2017_05_15_average,ndvi_agg_2017_05_22_average,ndvi_agg_2017_05_25_average,ndvi_agg_2017_05_30_average,ndvi_agg_2017_06_06_average,ndvi_agg_2017_06_09_average,ndvi_agg_2017_06_14_average,ndvi_agg_2017_06_19_average,ndvi_agg_2017_06_29_average,ndvi_agg_2017_07_01_average,ndvi_agg_2017_07_09_average,ndvi_agg_2017_07_11_average,ndvi_agg_2017_07_14_average,ndvi_agg_2017_07_19_average,ndvi_agg_2017_07_24_average,ndvi_agg_2017_07_29_average,ndvi_agg_2017_07_31_average,ndvi_agg_2017_08_08_average,ndvi_agg_2017_08_28_average,ndvi_agg_2017_09_02_average,ndvi_agg_2017_09_09_average,ndvi_agg_2017_09_19_average,ndvi_agg_2017_09_27_average,ndvi_agg_2017_09_29_average,ndvi_agg_2017_10_02_average,ndvi_agg_2017_10_19_average,ndvi_agg_2017_11_08_average,ndvi_agg_2017_12_13_average,ndvi_agg_2018_01_02_average,ndvi_agg_2018_01_05_average,ndvi_agg_2018_01_07_average,ndvi_agg_2018_01_10_average,ndvi_agg_2018_01_20_average,ndvi_agg_2018_01_22_average,ndvi_agg_2018_02_19_average,ndvi_agg_2018_02_21_average,ndvi_agg_2018_02_24_average,ndvi_agg_2018_02_26_average,ndvi_agg_2018_03_03_average,ndvi_agg_2018_03_26_average,ndvi_agg_2018_04_05_average,ndvi_agg_2018_04_07_average,ndvi_agg_2018_04_10_average,ndvi_agg_2018_04_12_average,ndvi_agg_2018_04_20_average,ndvi_agg_2018_04_22_average,ndvi_agg_2018_04_30_average,ndvi_agg_2018_05_05_average,ndvi_agg_2018_05_07_average,ndvi_agg_2018_05_10_average,ndvi_agg_2018_05_12_average,ndvi_agg_2018_05_15_average,ndvi_agg_2018_05_20_average,ndvi_agg_2018_05_22_average,ndvi_agg_2018_05_25_average,ndvi_agg_2018_05_27_average,ndvi_agg_2018_05_30_average,ndvi_agg_2018_06_01_average,ndvi_agg_2018_06_04_average,ndvi_agg_2018_06_09_average,ndvi_agg_2018_06_14_average,ndvi_agg_2018_06_16_average,ndvi_agg_2018_06_19_average,ndvi_agg_2018_06_29_average,ndvi_agg_2018_07_04_average,ndvi_agg_2018_07_06_average,ndvi_agg_2018_07_09_average,ndvi_agg_2018_07_19_average,ndvi_agg_2018_07_21_average,ndvi_agg_2018_07_24_average,ndvi_agg_2018_08_03_average,ndvi_agg_2018_08_05_average,ndvi_agg_2018_08_10_average,ndvi_agg_2018_08_13_average,ndvi_agg_2018_08_15_average,ndvi_agg_2018_08_18_average,ndvi_agg_2018_08_20_average,ndvi_agg_2018_08_23_average,ndvi_agg_2018_08_28_average,ndvi_agg_2018_08_30_average,ndvi_agg_2018_09_02_average,ndvi_agg_2018_09_04_average,ndvi_agg_2018_09_09_average,ndvi_agg_2018_09_12_average,ndvi_agg_2018_09_19_average,ndvi_agg_2018_09_27_average,ndvi_agg_2018_09_29_average,ndvi_agg_2018_10_02_average,ndvi_agg_2018_10_04_average,ndvi_agg_2018_10_07_average,ndvi_agg_2018_10_09_average,ndvi_agg_2018_10_12_average,ndvi_agg_2018_10_14_average,ndvi_agg_2018_10_17_average,ndvi_agg_2018_10_19_average,ndvi_agg_2018_10_22_average,ndvi_agg_2018_11_06_average,ndvi_agg_2018_11_08_average,ndvi_agg_2018_12_01_average,ndvi_agg_2019_01_02_average,ndvi_agg_2019_01_05_average,ndvi_agg_2019_01_07_average,ndvi_agg_2019_01_15_average,ndvi_agg_2019_01_25_average,ndvi_agg_2019_01_27_average,ndvi_agg_2019_02_14_average,ndvi_agg_2019_02_19_average,ndvi_agg_2019_02_26_average,ndvi_agg_2019_03_06_average,ndvi_agg_2019_03_08_average,ndvi_agg_2019_03_11_average,ndvi_agg_2019_03_23_average,ndvi_agg_2019_04_02_average,ndvi_agg_2019_04_05_average,ndvi_agg_2019_04_10_average
112,1.90394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,1.325457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,0.539169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,1.881475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,0.606565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,1.224363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,0.696427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,0.92108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,0.606565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,1.38162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,0.724508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,0.92108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,1.392853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
